Key	option 1	option 2	option 3	Event Description
11	Withdraw your application for extending exploration and plan on submitting one in the future. [delays cause increase in fracking costs and embolden protests]	Lobby the national energy secretary to claim that "Fracking is not evil", and it can be done safely and cheaply. [future regulations may be easier to lobby, but protests may swing the state/country the other way]	Withdraw application and lobby the national energy secretary to claim that "Fracking is not evil", and it can be done safely and cheaply. [future regulations may be easier to lobby]	Anti-fracking activists have staged a series of protests at various sites over the past weeks. You have a permit to explore in the area but worried it may be too controversial to continue
12	immediately shut in all wells in area and state	 call for an investigation but use lawyers to delay findings	 blame housing developers and lobby heavily to keep regulation from increasing	An explosion at a home in Colorado, which killed two people and prompted the state's biggest oil producer to shut down some of its wells, has highlighted the tension between Colorado's flourishing oil business and its rapid housing development.
13	Use this news as PR material and let fracking opponents know about the benefits of fracking for the economy	Call the media for an interview to highlight the significance of fracking to the economy	Pay local newspapers to make this news as their headline	An online news report concludes that ever since the shale oil boom in 2008, increased production of gasoline led to a decline in oil prices. In 2008, the U.S. economy paid $390 billion for crude oil and finished product imports. However, in 2016, the U.S. paid $78 billion - a difference of $312 billion
14	Ignore	Try to resovle water quality	Buy out ownership of wells and compensate land owners	Pennsylvania has shown elevated levels of methane in wells located near less than  1 kilometer ( about 0.621371 mile) of shale gas drilling sites vs. wells located more than 1 kilometer from those areas, which had lower concentration of methane
15	Change old extraction method and use more sustainable alternative - costs of drilling goes way up, but environmental damage goes down	Ignore ( if its not broke why fix it ?) - risks increasing regulation	Claim to use this technology but continue to use original methods	New Fracking technology now does not require water
16	. Celebrate this study as proof that fracking does not affect groundwater. [1 PR point; increase chance of later environment/contamination effects; reduce chance of being sued]	Work to reduce the number of spills that affect surface water [1 Research point; increase regulation/costs in state; decrease environment/contam chance in state]	Do nothing [increase chance of later environment/contamination effects]	nternational Journal publishes study that hydraulic fracturing affects surface water in W.Va streams but not groundwater. Spill water from fracked wells was affecting the quality of streams in areas with significant shale gas development, because of the frequency of spills.
17	Abide by regulations	Falsify data, pay out an EPA Representative	Invest more money in eco-technology to capture emissions more effectively	EPA  regulations would actually save companies money in the long run, the EPA estimates, since companies could sell the methane and other compounds they capture, which would more than pay for the new equipment
18	Schedule a meeting with the mayor	Lobby against current regulations	Move prospects to another state near by	New York has banned fracking/ Tapping into the Marcellus Shale area. Since your company has proposed potential work sites in the area, your offers have recently become declined
19	Offer a settlement to the user and ask him to take down the video online	Release a statement saying that your company's fracking practices are safe for the environment	Tell local residences and environmentalists that this alleged fracking and quarry sites are merely a private community development approved by the local government	A landowner from Pennslyvania filmed the devastating effects of fracking and quarry sites in his hometown. He said that these sites may contaminate their fresh water and groundwater resources. The video captured the attention of environmentalists and local residences.
20	Ignore	Insure wells for natrual disaster	Close wells and find new drill location	Earthquake swarm detected in a state you have wells 
21	Launch giant PR campaign about how awesome and vital fracking is for our economy	Send PR to show that the scientist is a FORMER EPA scientist and discredit him		It took nearly a decade, but former EPA scientist has proved ground water pollution is due to fracking in Wyoming
22	Claim hydraulic fracturing absolutely does not pose threat to drinking water	Object to the disclosure of the chemicals used in the fracking process under the safe drinking water act	Allow testing and provide opportunity to test chemicals and move on to take regulations against current use of non-biodegradable chemicals	Your company has been invited to hold a press conference held to disclose controversy about chemicals involved with hydraulic fracking. Statements of environmental detriment caused by your company's implementation are further circulating around the wells that you own
	Pay the bill	Blame electric company	Allow legislation to highly regulate and tax fracking site	Massive Pipleline Explosion in suburban area
	Seek eminent domain to take the land from the church	Move pipleline	Fight in court	Nuns sue to prevent pipeline
	Send specialists to analyze the situation	Immediately stop pipeline		210,000 Gallons of oil leaked Thursday from Keystone South Dakota
